Ticker,Histogram,Derivative
WEED.TO,-0.004269535995982565,0.01091303845068703
VRNO.NE,0.06866616497680766,0.014350905619479715
VLE.TO,0.08604281226664345,0.011841955329027154
TOT.TO,-0.01612712414718892,0.01085018828701384
TKO.TO,0.01511315363418328,0.014103880338851738
TFPM.TO,0.022816941039387504,0.010207724596083871
SVM.TO,0.005366143739308382,0.019688447259910535
STZ.NE,0.05048069298803629,0.0299451758851876
SPPP.TO,-0.013548892489667175,0.013142187074761474
SLI.V,-0.005580063379625841,0.010053331406303975
SES.TO,-0.052113953565291415,0.013671208586652883
SEA.TO,-0.011368762745427308,0.017209754094631657
SCRI.NE,0.012290184854886699,0.023313519181853093
RX.V,0.010684306922910947,0.024519274084637513
PSLV.TO,0.06875604084424383,0.023891982375098986
PSI.TO,-0.07079572882792365,0.018074478120647205
PNG.V,0.016721940226047283,0.0142506855154306
PMET.TO,0.07819065223531618,0.011481110238771186
PHYS.TO,0.044689036811102284,0.027277513986676407
PFE.NE,0.06042503860687398,0.012892285316707663
ORA.TO,0.049265071257682896,0.04241295933985867
OR.TO,0.023065657405182672,0.040036287421941305
NGEX.TO,0.0017995498571564128,0.02170097324097431
MU.NE,0.06705204998903874,0.032643676875453304
METX.CN,0.07685053358000449,0.02288569838181931
MDA.TO,0.019673397139626125,0.022595203504437444
MAL.TO,-0.013595357105691819,0.011110996935293521
MAG.TO,0.026257576679580147,0.04937155369075168
LNF.TO,0.026584474956747373,0.015505359644390426
KNT.TO,0.03570295351154404,0.012753340037499061
K.TO,0.018618029579935733,0.012690252250848102
IPCO.TO,0.07719425720895194,0.017664711715544942
IMP.TO,0.03660181405750576,0.0116267260844998
IE.TO,-0.058203142161246724,0.049217317454273074
HBM.TO,0.03745724430122399,0.03352645436709489
GTE.TO,0.04975260881836971,0.016569814252133774
GOOG.NE,0.02655478464044171,0.03122043895716968
GMIN.TO,0.051401535131867605,0.03147349909779571
GATO.TO,0.09904467860941174,0.08889182927982858
FVI.TO,0.024719168441847524,0.023992256083553428
FTG.TO,-0.019222424134506033,0.0171853876970815
FOM.TO,0.006949293033814648,0.02045460556549683
FGX.NE,-0.024531033981479156,0.017315573018362646
ETG.TO,0.03579285773795222,0.014128707180829883
ESI.TO,-0.03703889632916287,0.010522293963996197
ERO.TO,0.0772823087816199,0.042986130063287
EPRX.TO,-0.059756052726862324,0.011985847011574152
EFN.TO,0.04514731959593982,0.02179280554324614
EDR.TO,-0.022893602483739367,0.024342894631771694
DNTL.TO,-0.06979943398765599,0.0100259603235799
CXI.TO,0.0461765216476413,0.026988175883235432
CS.TO,-0.03645594344559128,0.02169686392115794
CIA.TO,0.07195752599780131,0.01469581373535385
CGG.TO,-0.01946635920035167,0.01839890473886127
CG.TO,0.04578765012709812,0.010249339927689005
CEF.TO,0.08507892523596883,0.03337232924603309
BLK.NE,-0.020020880817275877,0.012248963706537719
BLCO.TO,0.04830470136843157,0.025446752570681436
BHC.TO,0.0008574407982827326,0.04427952683771129
BB.TO,0.04458361464972617,0.028362167075392145
ARIS.TO,0.00264049851762721,0.018562300215729244
ALV.V,0.06077960569307089,0.02676149316133003
ALS.TO,0.02810934759290934,0.03080523453956205
AG.TO,0.030999031332643756,0.03964505297208304
